제목	본문요약
"우리 회사로 연락해!" 유로2020 콜라 논쟁, 루카쿠도 참전했다	"우리 회사로 연락해!" 을 뒤덮은 콜라 논란. 로멜루 루카쿠(벨기에)가 마침표를 찍었다. 콜라 논란. 시작은 이렇다. 크리스티아누 호날두(포르투갈)가 조별리그 첫 번째 경기를 앞두고 공식 기자회견에 나섰다....
"누구?" 99년생에겐 생소한 "스튜디오의 늙은 선수" [유로2020]	18일(이하 한국시각) 우크라이나와 북마케도니아와의 UEFA  C조 경기 종료 후 개인 SNS를 통해 우크라이나 대표팀의 알렉산데르 이사크를 칭찬한 것. 그는 "특별한 재능, 이사크는 유럽 전역의 클럽들로부터 많은...
'포트나이트', 'UEFA 유로컵 2020™' 개최	UEFA 컵 ™이 '포트나이트'에서 열린다. 세계적인 게임 개발사이자 게임엔진 개발사인 에픽게임즈의 한국법인 에픽게임즈 코리아(대표 박성철)는 자사가 개발하고 서비스 중인 '포트나이트'에서 ‘UEFA 컵...
"유로2경기-유효슈팅 0개, 케인 머선일?" 英팬 우려-비판 증폭↑[유로2020]	"케인 왜 그래…." 19일(한국시각) 25년만의 영국더비,  잉글랜드-스코틀랜드전 직후 '잉글랜드 캡틴' 해리 케인의 폼에 대한 팬들의 우려가 증폭되고 있다.  우승에 도전하는 잉글랜드대표팀은 이날...
[유로리뷰]'페시나 결승골' 이탈리아, 웨일스 누르고 3연승! 조1위 16강행!	이탈리아는 20일 오후(현지시각) 이탈리아 로마 스타디오 올림피코에서 열린 웨일스와의  A조 3차전에서 1대0으로 승리했다. 이탈리아는 전반 15분 에메르송이 날카로운 슈팅을 시됐다. 그러나 막히고 말았다. 2분...
'누가 우승 후보 아니래?' 이탈리아, 유로 최초 조별리그 무실점 전승	이탈리아는 21일(한국시간) 이탈리아 로마 올림피코 스타디움에서 열린 유럽축구연맹(UEFA) 유럽축구선수권대회() 조별리그 A조 3차전 웨일스와 경기에서 1-0 승리를 거뒀다. 전반 39분 마테오 페시나의 선제골로...
'동점골' 레반도프스키, 스웨덴 정조준..."본선 진출 희망" [유로2020]	폴란드 대표팀은 20일(이하 한국시각) 스페인 세비야에 있는 에스타디오 올림피코 데 라 카르투하에서 스페인과  E조 조별리그 경기를 가졌다. 폴란드는 1-1로 스페인과 비겼다. 동점골을 기록한 폴란드 공격수...
이탈리아, 유로2020 16강 진출…스위스 완파	A매치 29경기 무패 행진 정동현기자(dhjeong@skyedaily.com) 기사입력 2021-06-17 16:14:07   이탈리아 선수들이 16일(현지시간) 이탈리아 로마의 스타디오 올림피코서 열린 유럽축구연맹(UEFA)  조별리그 A조 2차전...
[유로 이슈] WHO, 유로 2020 개최 도시 방역 지침 완화에 우려	WHO(세계보건기구)가 현재 한창 진행중인 에 대해 우려를 내비쳤다. AFP 통신에 따르면, 롭 버틀러 WHO 유럽 지부 총괄 사무국장은 이메일 인터뷰를 통해 "WHO는  경기가 열리는 일부 개최국에 방역...
패장 산투스 감독 "후반 2실점, 충격이었다" [유로2020]	페르난두 산투스 감독이 이끄는 포르투갈은 20일(한국시각) 뮌헨에서 열린 UEFA  F조 2차전 독일과의 경기에 2-4로 충격적인 패배를 당했다. 포르투갈은 이날 터진 6골 중 득점 2골, 자책골 2골을 기록하며 무너졌다....
'또 무승부' 엔리케 "경기 지배, 꺾기 부족" [유로2020]	스페인 대표팀은 20일(이하 한국시각) 스페인 세비야에 있는 에스타디오 올림피코 데 라 카르투하에서 폴란드와  E조 조별리그 경기를 가졌다. 스페인은 1-1로 폴란드와 비겼다. 스페인의 조별예선 성적은 2무, 승점...
무적함대 시절이 그리운 스페인...유로 2008 레전더리11	16강행이 불투명한 스페인이 무적함대로 불리던 시절이 있다. 스페인은 서 조별리그 탈락 위기에 몰렸다. 1차전 스웨덴과 0-0, 2차전 폴란드와 1-1 무승부에 그쳐 3위에 머물러 있다. 오는 24일...
프랑스 구한 그리즈만, 英 전설과 어깨 나란히 [유로2020]	그리즈만은 19일(한국시각) 헝가리 부다페스트에서 열린 UEFA  F조 2차전 헝가리와 프랑스의 경기에 선발 출장했다. 그리즈만은 0-1로 뒤지던 후반 21분 동점 골을 터뜨렸고 프랑스는 사실상 진짜 원정 경기에서 1...
'관중 75%까지' 유로 2020 준결승-결승 장소 웸블리 6만명 입장 결정	준결승과 결승전이 치러지는 웸블리 스타디움에 6만 관중이 입장할 전망이다. 글로벌 스포츠 매체 ESPN은 23일(한국시간) " 준결승과 결승전이 치러지는 웸블리 스타디움은 영국 정부의 관중 75%까지...
이탈리아, 유로2020 개막전서 터키에 3-0 대승	코로나19 여파로 1년 미룬 끝에 막을 올린 (유럽축구선수권대회) 개막전에서 우승후보 이탈리아가 터키를 대파했다. 로베르트 만치니 감독이 이끄는 이탈리아 축구대표팀은 12일(한국시간) 이탈리아 로마의...
‘베일 2도움’ 웨일스, 터키 2-0 잡고 유로 2020 첫 승	웨일스가 터키를 잡고 서 첫 승을 신고했다. 웨일스는 17일(한국시간) 새벽 아제르바이잔 바쿠 올림픽경기장서 열린 터키와  A조 조별리그 2차전서 전반 42분 램지의 선제골과 후반 추가시간 로버츠의...
호날두, 유로 통산 10,11호골… 역대 득점 단독 1위	호날두는 16일 오전(한국시간) 헝가리 부다페스트의 푸슈카시 아레나에서 열린  F조 조별리그 1차전에서 2득점을 올렸다. 2연패를 노리는 포르투갈이 헝가리를 3-0으로 눌렀다. 호날두의 유로 본선 개인 통산 10...
[유로 리뷰] '루카쿠 쐐기골' 벨기에, 핀란드 2-0 꺾고 16강행...스위스와 격돌	로베르토 마르티네스 감독이 이끄는 벨기에는 22일 오전 4시(한국 시각) 러시아 상트페테르부르크의 가즈프롬 아레나에서 열린 핀란드와의  B조 조별리그 3차전에서 2-0으로 승리했다. 이로써 B조 1위가 된...
성공한 헝가리의 '반란', '통산 4골'이 해냈다 [유로2020]	헝가리와 프랑스는 19일(한국시각) 헝가리 부다페스트에서 UEFA  F조 2차전 경기를 치렀다. 경기는 예상 밖의 전개로 흘러갔다. 전반 내내 프랑스가 높은 점유율을 바탕으로 주도권을 쥐고 득점을 노렸다. 프랑스의...
'20세' 길모어 활약에 흐뭇한 형님들 [유로2020]	스코틀랜드 대표팀은 19일(이하 한국시각)  조별예선 D조에서 잉글랜드와 경기를 가졌다. 스코틀랜드는 90분 공방 끝에 0-0 무승부를 거뒀다. 승점 단 1점만을 추가해 녹아웃 단계로 진출하기 위해서는 다가오는...
'졸전' 사우스게이트, 두 명 바꾼 이유는? [유로2020]	우승 후보로 꼽히던 잉글랜드 대표팀은 19일(이하 한국시각) UEFA  D조 조별리그 매치데이 2 경기에서 스코틀랜드와 맞붙었다.  잉글랜드는 점유율 60%를 기록하며 압도했지만, 슈팅 수는 오히려 9-11로 뒤지며...
[유로 REVIEW] 'PK 실축' 스페인, 폴란드와 1-1 무승부…결정력이 떨어졌다	스페인은 20일(한국 시간) 스페인 에스타디오 올림피코 데 라 카르투하에서 열린  E조 조별리그 2차전에서 폴란드와 1-1로 비겼다. 경기 내내 스페인이 폴란드 상대로 압도했다. 볼 점유율 69%-31%로 스페인이...
'산 넘어 산' 오스트리아, 첫 유로 16강→'우승 후보' 이탈리아와 격돌	오스트리아는 22일(이하 한국시간) 루마니아 부쿠레슈티의 아레나 나치오날러에서 열린 유럽축구연맹(UEFA) 유럽축구선수권대회() 조별리그 C조 최종전에서 크리스토프 바움가르트너의 골을 앞세워 1-0으로...
'에릭센 쇼크' 덴마크, 유로 2020 벨기에전 1-2 역전패 탈락위기	2020 유럽축구선수권() B조의 덴마크는 18일 덴마크 코펜하겐 파르켄 스타디움에서 열린 세계랭킹 1위 벨기에와의 경기에서 선제골을 넣었지만 이후 2골을 내주며 1-2로 역전패했다. 에릭센이 쓰러진 핀란드전...
잉글랜드, 유로 첫판서 크로아티아 1-0 제압…스털링 결승골	2003년생 벨링엄, 유럽선수권 본선 역대 최연소 출전 기록 잉글랜드가 2020 유럽축구선수권대회() 첫 경기에서 난적 크로아티아를 잡았다. 잉글랜드는 13일(한국시간) 영국 런던의 웸블리 경기장에서 열린...
엔리케, 모라타 향한 비난에 "라울보다 잘하고 있어" [유로2020]	루이스 엔리케 스페인 대표팀 감독은 19일(이하 한국시각) 폴란드와의 UEFA  E조 매치데이 2 경기를 앞두고 공식 기자회견을 진행했다. 엔리케 감독은 지난 스웨덴과의 매치데이 1 경기 종료 이후 많은 비난에...
tvN '유로 2020' 12일부터 중계…배성재 캐스터 합류	tvN과 XtvN, 티빙은 오는 12일 오전 4시 터키-이탈리아 개막전을 시작으로 2020 유럽축구선수권대회(이하 )를 중계한다고 10일 예고했다. 은 1960년 시작돼 올해 60주년을 맞았으며, 월드컵 다음으로...
伊 감독, 웨일스 대표팀에 "영국 팀은 다루기 어려워" [유로2020]	로베르토 만치니 이탈리아 대표팀 감독은 20일(이하 한국시각) 웨일스 대표팀과 UEFA  A조 조별 리그 경기를 앞두고 공식 기자회견을 진행했다. 만치니 감독은 "웨일스는 수년 동안 FIFA 랭킹에서 상위권에 있었기...
호날두 선제골 뒤 자책골 2개…전반전 포르투갈, 독일에 1-2 역전 허용[유로 2020]	독일은 20일 오전 1시(한국시간) 독일 뮌헨에 위치한 알리안츠 아레나에서 열린 포르투갈과의  F조 조별리그 2차전에서 전반전을 2-1로 앞선채 마무리했다. 포르투갈은 4-2-3-1 포메이션을 들고 나왔다. 크리스티아누...
케인 부진, 손흥민이 왜 나와? [유로 2020]	해리 케인이  조별리그 내내 1골도 기록하지 못했다. [사진=로이터/연합뉴스] 잉글랜드는 이날 4-2-3-1 전형을 내세웠다. 스털링, 잭 그릴리쉬, 부카요 사카가 2선에서 최전방의 케인을 보좌했다. 앞서 공격적인 4-3...
"못했는데 우정이 무슨 소용" 로이 킨의 일침 [유로2020]	19일(이하 한국시간) 영국 스카이스포츠에서 을 다루는 프로그램 '로드 투 웸블리(Road To Wembley)'에 출연한 이안 라이트와 로이 킨이 잉글랜드 대표팀 데클란 라이스와 메이슨 마운트의 우정을 조명했다. 우승...
[유로 리뷰] '고레츠카 동점골' 독일, 헝가리와 비기며 16강 진출	24일(한국시간) 독일 뮌헨에 위치한 알리안츠 아레나에서 열린  F조 3차전에서 독일이 헝가리와 2-2로 비겼다. 이날 독일은 천당과 지옥을 오갔다. 포르투갈과 프랑스가 무승부를 기록하면서, 독일이 헝가리에 패할...
프랑스-포르투갈, 유로2020 '죽음의 조'에서 먼저 웃었다	사진=AP PHOTO 포르투갈의 크리스티아누 호날두가 헝가리와의  경기에서 골을 터뜨린 뒤 기뻐하고 있다. 사진=AP PHOTO[이데일리 스타in 이석무 기자] 2020 유럽축구선수권대회 ‘죽음의 조’로 꼽히는 F조에서...
[유로 S코어북] '후반 3골' 덴마크, 러시아에 4-1 승…16강행	덴마크는 22일(한국시간) 덴마크 오베드스타덴레기온 코펜하겐시 코펜하겐에 위치한 파르켄 스타디움에서 열린  본선 B조 매치데이3 러시아와의 경기에서 4-1로 승리했다. 덴마크는 대회 첫 승을 거두며 조 2위로...
또다시 번지는 코로나19...결승전 장소 변경 되나 [유로2020]	또다시 번지는 코로나19로 인해  결승전 장소가 바뀔 가능성이 생겼다. 영국 언론 BBC는 19일(한국시각) 유럽축구연맹UEFA)이 현재 계획된 UEFA  준결승과 결승 경기의 런던 웸블리 스타디움 개최를...
‘로카텔리 2골’ 이탈리아, 스위스 3-0 꺾고 유로 2020 첫 16강행	이탈리아가 스위스를 완파하고 참가국 중 가장 먼저  16강 진출을 확정지었다. 이탈리아는 17일(한국시간) 새벽 이탈리아 로마의 올림피코스타디움서 열린  A조 조별리그 2차전서 로카텔리의 2골과...
호날두 플라티니 제쳤다…유로 역대 최다골 신기록	조별리그 첫 경기에서 멀티골을 수확한 크리스티아누 호날두(36, 유벤투스)가 대회 역대 최다 골 기록을 새로 썼다. 호날두는 16일(이하 한국 시간) 헝가리 부다페스트 푸스카슈 아레나에서 열린  F조...
[유로 리뷰] '5골 폭발' 스페인, 대회 첫승 거두며 조 2위 16강행	첫 2경기에서 단 1득점으로 무승에 그쳤던 스페인이 조별리그 최종전에서 슬로바키아 상대로 5골을 몰아치며 조별리그를 조 2위로 통과했다. 24일(한국시간) 스페인 세비야의 에스타디오 올림피코 데라...
"여기 주차하시면 안됩니다" '스코틀랜드 응원'퍼거슨경 VIP주차장 굴욕사건[유로2020]	"퍼거슨경 여기 주차하시면 안됩니다." '스코틀랜드 레전드' 알렉스 퍼거슨 전 맨유 감독이 19일  잉글랜드-스코틀랜드 대첩이 펼쳐진 웸블리스타디움 VIP 주차장에서 굴욕을 겪었다. 맨유 불세출의 레전드...
유로 2020 네덜란드, 오스트리아 완파하고 16강 진출	네덜란드가 오스트리아를 꺾고 유럽축구선수권대회() 16강에 진출했다. 네덜란드는 18일(이하 한국 시각) 네덜란드 암스테르담 요한 크루이프 아레나에서 열린  조별리그 C조 2차전서 오스트리아에 2 대...
콜라 패싱도 독일 징크스도 아랑곳 않는 호날두, 유로 득점 선두로[스한 이슈人]	호날두는 20일 오전 1시(한국시간) 독일 뮌헨에 위치한 알리안츠 아레나에서 열린 독일과의  F조 조별리그 2차전에 선발 출전, 선제골과 함께 이번 대회 3호골을 터트렸다. 호날두로선 명예회복이 필요했던...
에릭센, 회복의 '엄지척'..."덴마크 동료들 응원할 것" [유로2020]	에릭센은 지난 13일(한국시각) 덴마크 코펜하겐에서 열린 UEFA  핀란드와의 B조 1차전 전반 막바지에 갑작스럽게 심장마비로 쓰러졌다. 의료진의 응급처치가 아니었다면 에릭센은 사망까지 이를 수 있는 절체절명의...
[유로 STAR] '북마케도니아 영웅', 동료들 환대 속에 20년 헌신 끝내다	북마케도니아는 22일 오전 1시(한국시간) 네덜란드 암스테르담에 위치한 요한 크루이프 아레나에서 열린 UEFA 유럽축구선수권대회() C조 3차전에서 네덜란드에 0-3으로 패했다. 이날 패배로 북마케도니아는 3전...
배성재·이동국, tvN '유로2020' 중계 나선다	최진경 인턴 기자 = 케이블 예능채널 tvN이 '' 중계의 막을 올린다. '유럽 축구 국가 대항전 2020 유럽축구선수권대회()'는 오는 12일 개막한다. 는 지난 1960년 시작돼 올해 60주년을 맞이했으며...
배성재·이동국, tvN '유로2020' 중계 나선다	최진경 인턴 기자 = 케이블 예능채널 tvN이 '' 중계의 막을 올린다. '유럽 축구 국가 대항전 2020 유럽축구선수권대회()'는 오는 12일 개막한다. 는 지난 1960년 시작돼 올해 60주년을 맞이했으며...
[유로2020 A조 프리뷰] 이탈리아에 이은 두 번째 16강 진출 팀	A조의 두 번째 16강 진출 팀이 가려진다. 이탈리아는 2연승을 거두며 일찌감치 16강을 확정 지었다. 매치데이2 결과 터키 vs 웨일스 0-2 (전반 42분 램지 후반 45+5분 로버츠) 이탈리아 vs 스위스 3-0 (전반 26분 후반 7분...
[이슈톡] 유로 2020 결과 점치는 '족집게' 사자	이번 의 예언가가 나타났습니다. 바로 태국 동물원에 사는 8살 알비노 수컷 사자 '보이'인데요. 지난 13일 잉글랜드가 크로아티아를 이길 것이라고 정확히 점친 겁니다. 기세를 이어 헝가리와 포르투갈 경기에선...
프랑스 데샹 감독 "승점 3점을 따야 할 경기였다" [유로2020]	프랑스는 19일(한국시각) 열린 UEFA  F조 2차전 헝가리와의 경기에서 1-1로 비겼다. 전반 추가시간에 상대 수비수 아틸라 피올라에게 선제골을 허용한 프랑스는 후반 21분 앙투완 그리즈만의 동점 골로 승점 1점을...
'어·우·서' 어차피 우승은 서유럽? 유로2020 초반 흐름 분석	아직 대회 극초반이긴 하지만, 이번 유럽선수권대회()는 큰 이변없이 흘러가는 모양새다. 예상대로 우승후보 1순위로 꼽히는 프랑스와 국제축구연맹(FIFA) 랭킹 1위 벨기에, 전통강호 이탈리아, 최근 기세가 좋은...
‘호날두 멀티골 작렬’ 포르투갈, 헝가리 상대로 3-0 대승 [유로2020]	포르투갈은 16일 오전 1시(한국시간) 헝가리 부다페스트의 푸스카스 아레나에서 펼쳐진 ‘ 조별예전 F조’ 경기에서헝가리를 상대로 3-0 대승을 얻었다. 이로써 헝가리를 비롯해 프랑스, 독일이 속한 F조에서 조...
이탈리아, 유로2020 개막전서 터키에 3-0 완승…1호 골은 자책골	터키 데미랄 자책골에 임모빌레·인시녜 득점 보태 산뜻한 출발 A매치 28경기 무패 행진…최근 9경기서는 무실점 전승 1년 미룬 끝에 막을 올린 2020 유럽축구선수권대회() 첫 경기에서 이탈리아가 터키를...
[유로 리뷰] 지옥에서 살아난 독일, 헝가리와 2-2 무승부…조 2위로 16강행	독일은 24일 새벽 4시(한국 시각) 독일 뮌헨 알리안츠 아레나에서 열린 유럽축구연맹(UEFA)  F조 3라운드 헝가리전에서 1-2로 졌다. 전반 11분 아담 살라이가 득점했다. 독일은 후반 21분 카이 하베르츠가 동점골을...
웸블리 VIP 퍼거슨, 주차 요원에 제지당한 사연 [유로2020]	"선생님 여기 주차하시면 안 돼요." 알렉스 퍼거슨 전 맨체스터 유나이티드 감독이 19일(이하 한국시각) UEFA  D조 조별 리그 잉글랜드와 스코틀랜드의 '영국 더비'가 펼쳐진 웸블리 스타디움 VIP 주차장에서...
[유로2020] '16강 진출' 크로아티아, 스코틀랜드에 3대1 완승	D조 조별리그 최종전에서 크로아티아가 스코틀랜드를 3대1로 압도하며 16강 진출을 확정지었다. 크로아티아와 스코틀랜드는 23일 오전 4시(한국시각) 스코틀랜드 글래스고햄든 파크에서 열린  D조 리그...
유로 대회 열린 英 웸블리 축구장서 관중 추락 중태	2020 유럽축구선수권대회()가 열린 영국 런던의 웸블리 스타디움에서 관중이 추락하는 사고가 발생했다. 영국 BBC는 14일(한국시간) "잉글랜드와 크로아티아의 유로 대회 조별리그 D조 1차전 킥오프 직전...
[유로2020 F조 프리뷰] 위기의 독일, 이번엔 달라질까?	호날두 독일(3-4-2-1) : 마누엘 노이어(GK), 마티아스 긴터-마츠 훔멜스-안토니오 뤼디거, 요슈아 키미히-일카이 귄도안-토니 크로스-로빈 고젠스, 카이 하버츠-토마스 뮐러, 세르주 그나르비  / 사진=EPA/연합뉴스/UEFA SNS
'다크호스→샌드백' 터키, 유로 전패 탈락...귀네슈 "모든 건 내 책임"	터키의 UEFA 유럽축구선수권대회() 도전이 마무리됐다. 셰놀 귀네슈 감독은 모든 것이 자신의 책임이라고 인정했다. 터키는 21일 오전 1시(한국시간) 아제르바이잔 바쿠에 위치한 바쿠 올림픽 경기장에서 열린...
헝가리만 만나면 작아졌던 프랑스, 반세기 지나도 같았다 [유로2020]	프랑스는 19일(한국시각) 헝가리 부다페스트에서 열린 UEFA  F조 2차전 헝가리와의 경기에서 1-1로 비겼다. 전반 추가시간 47분에 아틸라 피올라에게 선제골을 내줬지만 앙투완 그리즈만이 후반 21분에 동점 골을...
틱톡, 애드시런 'UEFA EURO 2020 쇼' 생중계 예고…26일 라이브, 27일 재방송	특히 이번 무대는  16강전을 앞둔 잉글랜드 입스위치 '포트만 로드 스타디움'에서의 전야제 성격과 함께, 에드 시런의 신곡 최초무대와 히트곡 퍼레이드가 펼쳐질 것으로 예고돼 관심을 모은다....
스페인, 슬로바키아에 5-0 대승 조 2위…조 1위 스웨덴과 동반 16강 [유로2020 E조]	24일 새벽(한국시간)  조별리그 E조 최종전 두 경기가 동시에 열려 조 1, 2위가 결정났다. 스페인 세비야의 올림피코 데라 카르투하 스타디움에서 열린 스페인-슬로바키아전에서는 스페인이 5-0 완승을 거뒀다....
유로2020에 등장한 '점쟁이 사자'…"적중률 기가 막혀"[영상]	11일(현지 시간)부터 유럽 11개국에서 ''이 진행되고 있는 가운데, 태국의 한 동물원에 사는 8살 사자가 경기 결과를 정확하게 예측해 화제다. 15일 데일리메일 등 외신에 따르면 태국 동물원에 사는 8살 사자가...
로테이션에 대응한 '변칙기용'...이탈리아vs웨일스 선발 라인업 발표 [유로2020]	이탈리아와 웨일스는 21일(한국시각) 로마에서 열리는 UEFA  A조 최종전 선발 라인업을 발표했다. 이탈리아는 2연승으로 조 1위를 차지해 일찌감치 16강 진출을 확정 지었다. 웨일스는 1승 1무로 조 2위에 있지만, 이...
[유로2020]'쉬크 멀티골' 체코, 스코틀랜드에 2-0 완승...D조 선두	체코의 공격수 토마스 쉬크가 스코틀랜드와의  조별리그 경기에서 골을 터뜨린 뒤 기뻐하고 있다. 사진=AP PHOTO[이데일리 스타in 이석무 기자] 동유럽의 강호 체코가 복병 스코틀랜드의 거센 반격을 뿌리치고...
어수선한 유로 2020, 이번엔 그라운드에 낙하산 착지 사고 여럿 입원	UEFA는 “연맹과 파트너들은 지속 가능한  대회를 위해 헌신하고 있으며, 탄소 배출을 상쇄하기 위한 계획들을 실행하고 있다”고 밝혔다. 킥오프 전 어수선한 일이 일어났지만 경기는 예정대로 진행됐고...
어수선한 유로 2020, 이번엔 그라운드에 낙하산 착지 사고 여럿 입원	UEFA는 “연맹과 파트너들은 지속 가능한  대회를 위해 헌신하고 있으며, 탄소 배출을 상쇄하기 위한 계획들을 실행하고 있다”고 밝혔다. 킥오프 전 어수선한 일이 일어났지만 경기는 예정대로 진행됐고...
'포르투갈 격돌'뢰브 獨감독"호날두 콜라병 옮기기보다 더 많은 걸 하는 선수"[유로2020]	"크리스티아누 호날두는 콜라병 옮기는 것보다 더 많은 일을 하는 선수." 요아킴 뢰브 독일 A대표팀 감독이 20일 오전 1시 펼쳐질  F조 조별리그 2차전, 포르투갈과의 맞대결을 앞두고 열린 공식 기자회견에서 이번...
‘레반도프스키도 득점이 없네?’ 스페인vs폴란드, 선발 라인업 공개 [유로2020]	스페인과 폴란드는 20일 오전 4시(한국시간)스페인 세비야의 라 카르투야 스타디움에서 ‘ 조별예선 E조’ 일정을 소화한다. 스페인은 4-3-3 포메이션으로 나선다. 공격 최전방 3톱으로 다니 올모-알바로 모라타...
다니엘 제임스, '29경기 무패' 팀? "두렵지 않다" [유로2020]	웨일스의 윙어 다니엘 제임스는 19일(이하 한국시각) 이탈리아와의 UEFA  A조 매치데이 3 경기를 앞두고 공식 인터뷰를 진행했다. 최근 29경기 무패를 기록 중인 이탈리아를 상대로도 자신만만한 모습을 보였다....
[유로 S코어북] 독일, 2-2 무로 천신만고 끝 16강행…헝가리는 조별탈락	독일은 24일(한국시간) 독일 바바리안주 뮌헨에 위치한 푸스발 아레나 뮌헨에서 열린  본선 F조 매치데이3 헝가리와의 경기에서 2-2로 비겼다. 독일은 조 2위로 16강에 올랐다. 헝가리는 조 4위로 탈락이 확정됐다....
포트나이트, UEFA 유로컵 2020 개최	에픽게임즈의 한국법인 에픽게임즈 코리아는 '포트나이트'에서 'UEFA 컵 '을 개최한다. '포트나이트 UEFA 컵 '은 우승 상금 5만 달러를 놓고 6월 16일과 17일(한국 시각), 양일에 걸쳐 2라운드로 진행된다....
하루 1만명 코로나19 확진에도 유로2020 관중 6만명 입장 허용	영국이 다음 달 런던에서 열리는 ‘유럽축구선수권대회()’ 관중을 6만명까지 허용한다고 발표했다. 영국에서는 신종 코로나바이러스 감염증(코로나19) 확진자 수가 1만명을 넘고 있다. 영국 스포츠전문매체...
'데파이 결승골' 네덜란드, 2-0 승리...16강 진출 [유로:스코어]	18일(한국시각) 네덜란드 암스테르담에 위치한 요한 크루이프 아레나에서 열리는 UEFA  C조 매치데이 2 두 번째 경기에서 네덜란드가 오스트리아를 2-0으로 제압하며 16강 진출을 확정지었다. 홈팀 네덜란드는 5-3-2...
프랑스 비기고 포르투갈 대패하고, 혼돈에 빠진 죽음의 F조[유로 2020]	‘죽음의 조’로 평가받는 F조가 혼돈에 빠졌다. 2연승이 유력했던 프랑스가 헝가리의 고춧가루를 맞고 승점 1점을 획득하는 데 그쳤고, 1차전 대승을 거뒀던 포르투갈이 2차전에선 대패를 당했다. 순위표가 다시...
'에릭센 응원'이 부른 기적…덴마크, 러시아 4-1 대파 극적 16강 [유로2020]	덴마크는 22일 새벽(이하 한국시간) 덴마크 코펜하겐의 파르켄에서 열린  조별리그 B조 3차전에서 러시아를 4-1로 대파, 2패 뒤 1승을 거뒀다. 덴마크는 승점 3점밖에 안됐지만 조 최하위에서 단번에 조 2위로...
‘빅매치’ 포르투갈-독일의 유로 2020, 도박사들의 예상은?	최고 빅매치로 기대되는 포르투갈과 독일의  F조 2차전에 대해 도박사들은 어떻게 예상하고 있을까. 포르투갈과 독일은 20일(이하 한국시각) 오전 1시 독일 뮌헨의 알리안츠 아레나에서  F조 2차전...
[영상] 독일-프랑스 유로2020 축구경기중 낙하산 불시착…경기장 파편에 관객 부상	이승아 기자,정혜진 인턴기자 = 독일과 프랑스의 2020 유럽축구선수권대회() F조 1차전 킥오프를 앞두고 경기장에 낙하산이 불시착했다. 영국 BBC 등에 따르면 16일(한국시간) 독일 뮌헨의 알리안츠 아레나에서...
호날두, 기록 도전 계속…유로＋월드컵 득점 공동 1위로	호날두는 20일(한국 시간) 독일 뮌헨 알리안츠 아레나에서 열린 2020 유럽축구선수권대회() 조별리그 F조 독일과 2차전에 선발로 출전해 선제골이자 이번 대회 자신의 3번째 골을 기록했다. 지난 경기에서 이미...
‘케인은 아직 득점이 없다’…잉글랜드vs스코틀랜드, 선발 라인업 공개 [유로2020]	잉글랜드와 스코틀랜드 대표팀은 19일 오전 4시(한국시간) 잉글랜드 런더의 웸블리 스타디움에서 ‘ 조별예선 D조’ 일정을 소화한다. 잉글랜드는 4-2-3-1 포메이션으로 나선다. 공격은 최전방 해리 케인을...
[유로빅매치] 이번에도 스위스에 3대0 완승. 180도 변한 이탈리아 축구. 유로 2020 강력한 다크호스 급부상	이탈리아는 17일(한국시각) 이탈리아 로마 스타디오 올림피코에서 열린 UEFA  A조 2차전에서 스위스를 3대0으로 눌렀다. 2연승. 1차전과 비슷한 포메이션과 라인업. 최전방에는 인시네, 임모빌레, 베라르디가 최전방....
만원 관중 앞 호날두, ‘전설’ 플라티니 넘어 유로통산 최다골	호날두는 16일 헝가리 부다페스트의 푸슈카시 경기장에서 열린 2020 유럽축구선수권대회() 조별리그 F조 헝가리와의 1차전에서 두 골을 몰아치며 포르투갈의 3-0 승리를 이끌었다. 호날두는 1-0으로 앞선 후반...
부활했던 린가드의 아쉬움, "유로 가지 못해 정말 우울했어"	신동훈 기자= 제시 린가드(28)가 UEFA 유럽축구선수권대회()에 함께 하지 못한 아쉬움을 드러냈다. 린가드는 맨체스터 유나이티드 성골 유스로 성장했다. 1군에 데뷔했으나 자주 출전하지 못했고 임대를 통해...
졸전에 실망한 네빌 "선수들 딴 생각 가득했다" [유로2020]	우승 후보로 꼽히던 잉글랜드 대표팀은 19일(이하 한국시각) UEFA  D조 조별리그 매치데이 2 경기에서 스코틀랜드와 맞붙었다. 결과는 실망스러운 0-0. 잉글랜드는 점유율 60%를 기록하며 압도했지만, 슈팅 수는...
개러스 베일-애런 램지 맹활약...웨일스, 터키 2-0 완파 [유로 2020]	웨일스의 개러스 베일(오른쪽)과 벤 데이비스가 16일(현지시간)  A조 2차전에서 터키를 2-0으로 잡은 뒤 승리의 세리머니를 하고 있다. 바쿠/EPA 연합뉴스[스포츠서울 김경무전문기자] 웨일스가 개러스 베일(32)...
[유로 리뷰] '공격력 폭발' 독일, 포르투갈에 4-2 역전승	20일(한국시간) 독일 뮌헨의 알리안츠 아레나에서  F조 2차전을 치른 독일이 포르투갈에 4-2로 승리했다. 독일과 포르투갈 모두 1승 1패로 승점 3점 동률을 이뤘다. 앞선 F조 경기에서 무승부를 거둔 프랑스가 1승...
'파격' 잉글랜드 유로 우승 공약, "선수들 모두 개스코인 탈색머리 한다"	잉글랜드가 파격적인  우승 공약을 내걸었다. 잉글랜드 국가대표 필 포든은 ‘토크스포츠’와 인터뷰에서 “만약 유로에서 우승하면 우리 모두 나와 같은 헤어컷을 하자고 말했다. 모두들 동의했다”라고...
